Cluster,logAge50,Nstars,mean_30,mean_35,mean_39,mean_45,mean_50,mean_55,freqratio_20,freqratio_25,freqratio_30,freqratio_35,freqratio_39,freqratio_45,freqratio_50,freqratio_55
CWNU_304,8.57044411,61,-9.761080812488686,-6.6336664118305935,0.8830003498372243,18.16052032344164,22.59365597345338,36.25746696169842,0.3425748637426743,0.2543425606724955,0.5186985553662748,0.0134282979367907,-0.0397056296732112,-0.0195133455828564,-0.6237586499148144,-0.6111244847083595
HSC_553,9.10874271,45,-9.754425946755521,61.04160496443457,17.394198890692696,18.78582290537347,10.285714699762705,-0.36027812368393786,0.2925368646311112,0.1947203000189301,0.4848229534355558,0.0172649544901594,-0.4962801133179604,-0.4931268738836361,-0.6146207076398857,-0.6666797292500254
LP_145,8.44759464,645,-9.735202098584773,-12.00558431827086,-1.1095224048057934,21.020185037946924,38.07163368285522,29.280872587648584,0.3668472266790573,0.2805287303185185,0.2032040506062745,-5.879145318568878,-0.0397056296732112,-0.021014372166153,0.0017524942379088,-0.6416807089437774
UBC_1530,9.16724253,28,-9.717113219150274,87.47833822791975,37.58316525446684,22.823136868356652,32.38696807452255,-1.0709278155525448,0.3312399476003065,0.2462681936670194,0.1494555159529944,0.0151068351788895,-1.0436761926405325,-0.1834497649671426,-0.6044791473146196,-0.5031552520330396
Lynga_9,8.46105051,562,-9.672868902336164,-10.839623972208766,-7.787903397253313,2.229557454184232,14.984599371094562,20.426509858859276,0.5048162945640405,0.5160905062819446,0.5151369257726989,0.0134282979367907,-0.0397056296732112,-0.0182124558773326,0.0018620251277781,-0.4902125987573851
UBC_307,8.66313362,206,-9.641767488952027,-23.943643527991377,5.305443845022107,17.630577980566656,26.262416572380243,22.452553038069034,0.3626862025127778,0.2736702531409722,0.1846543037691667,0.0151068351788895,-0.0397056296732112,-0.0182124558773326,-12.970207597955543,-5.555742785917032
Teutsch_84,8.64019251,228,-9.595079691113302,-8.583766100901476,-1.2968156613255288,4.2483346036827845,15.415579026556102,20.60270007670196,0.3477363436199636,0.5160905062819446,0.4908937720613338,0.0134282979367907,-0.0363968272004436,-0.0182124558773326,0.0017524942379088,-1.229904426129348
UBC_669,8.42669678,98,-9.458648158754375,-14.722900653625132,-8.161571943101075,0.05512627510298851,25.013597183578874,34.51519317601367,0.3762972680719072,0.2912671074779437,0.2179099329592158,-0.979857553094813,-0.0397056296732112,-0.0182124558773326,0.0016551334469139,8.66638582112445
CWNU_1455,8.3991394,36,-9.337018893360487,-13.176185426487809,-13.3415859901309,-4.564927841713517,15.334667940218564,36.44641843339452,0.3626862025127778,0.2736702531409722,0.1846543037691667,0.0134282979367907,-0.0363968272004436,-0.0182124558773326,0.0016551334469139,-0.9298541240921628
UBC_1548,8.67174482,128,-9.129785252837069,-12.947100495401491,2.2643322277239175,9.096121615040948,29.162577369539857,27.617809694626512,0.3684431263621869,0.5151440059124184,0.5138206713576814,0.0134282979367907,-0.0363968272004436,-0.0182124558773326,1.0019861601362967,-37.6672283577511
NGC_6583,8.79448509,341,-9.121987373780112,6.262679046714982,10.652643936153458,16.22530491671582,16.64590382781558,45.1826898175946,0.3256257112003013,0.2543425606724955,0.5167302863803512,0.0151068351788895,-0.0397056296732112,-1.0227655698466656,-0.5151679870308242,-0.6349340085178833
CWNU_1922,8.77546692,21,-9.085725948756929,-3.396448651172711,-1.1861806528134655,8.234967713912097,18.65703533688218,24.56539858939791,0.3368652826802964,0.2502402613068101,0.5186985553662748,0.0134282979367907,-0.0363968272004436,-0.0182124558773326,0.0017524942379088,-15.667228357751096
UBC_316,8.55051708,98,-9.039140246865584,-6.790236751313785,1.6843813989049499,17.58210052603362,22.68299338849921,36.51059586750905,0.3425748637426743,0.2543425606724955,0.4898819689570374,0.0134282979367907,-0.0397056296732112,-0.0195133455828564,-0.4990069199318516,-0.6504202038475877
CWNU_2568,8.91840649,87,-9.010848976814659,-54.30637900816253,34.39915718838312,30.961078758126177,25.17420724124884,9.467053527800802,0.3535319493469631,0.2543425606724955,0.1717123085908996,0.0151068351788895,-1.0436761926405325,-9.273186838159988,-16.97020759795555,-0.5031552520330396
OC_0023,8.58618402,122,-8.894639491491848,-16.42621057541192,-2.605260751822584,19.373156387824864,21.584377730502148,22.17056022391193,0.3724910301664274,0.2956802454700337,0.4939291813742225,0.5060427340715561,-0.0436761926405324,-0.0195133455828564,-12.970207597955543,-0.4206482942321689
CWNU_2210,8.57576895,70,-8.863027633951628,-18.47145107251804,-4.492499904010801,15.614693015095833,25.564249534762368,22.523280044814676,0.3819987418305725,0.2912671074779437,0.2147518179887924,0.4800449832332168,-1.0436761926405325,-0.0195133455828564,15.02979240204445,-32.6672283577511
HSC_3,8.74855566,24,-8.840505151058537,5.6785728597294405,9.330910093578291,14.495225285538307,42.17903423032186,6.256967090631136,0.2925368646311112,0.5007840105801172,-0.0303540931288874,0.0134282979367907,-0.9436761926405328,-0.5097566727914281,-0.5992551899488887,-0.6666797292500254
HSC_411,8.55123472,72,-8.748768019944068,-7.419369309201313,2.860163817834309,28.456510027929554,44.03200850112863,15.02772814838012,0.3744559565831112,0.3030267070566511,0.2678091275841442,0.1616113957524149,0.1393161213686105,17.726813161840013,-4.990069199318516,-2.051325258288546
UBC_1590,8.68034649,64,-8.747461696916243,-4.095515749244854,0.5397540329826067,8.87932118298338,15.097186260290869,27.988581966092962,0.2786650384474075,0.5321810125638892,-0.0260177941104749,0.0134282979367907,-0.0397056296732112,6.363406580920007,-0.5602489658037938,-0.6587435323274071
UBC_315,8.48881435,135,-8.739511073185646,-10.013352538367105,-8.608417911301514,-0.806801293239399,11.379057066001229,21.643562615476558,0.3425748637426743,0.2502402613068101,0.488617215076667,0.0134282979367907,-0.0363968272004436,-0.0182124558773326,0.0018620251277781,-0.5196243634632673
PHOC_6,8.46931076,61,-8.726941648410005,-7.716225387468127,0.7913706584274747,15.34528025348333,23.6974576561502,36.74627683542342,0.5046068904525605,0.5143026722506174,0.5117731644898768,0.4776973342018305,-1.0436761926405325,0.9789856278338472,-0.4990069199318516,-25.667228357751096
UBC_310,9.12546587,240,-8.72476817446813,-40.16055283335579,27.963086310172535,28.2943133288848,21.323730025623593,23.92451401189935,0.3582567251744804,0.2663692935648746,0.1717123085908996,0.0151068351788895,-0.0397056296732112,-0.0195133455828564,-0.8731379748722217,-0.8730292466131213
CWNU_2330,9.04013538,74,-8.65486289566755,-16.34835970224336,54.54635115134088,47.3126892481406,47.35181506199364,32.57070529593283,0.3707634847179085,0.2912671074779437,0.2147518179887924,0.1078917375974411,-0.0397056296732112,-0.0182124558773326,23.02979240204445,-16.667228357751096
UFMG_42,8.57464314,154,-8.651130876582553,-10.134230634434342,-5.994028617704457,-3.74933989191552,-0.0010639068872806473,12.656258716155977,0.3477363436199636,0.2543425606724955,0.5186985553662748,0.0134282979367907,-0.0363968272004436,-0.0182124558773326,0.0016551334469139,1.0166385821124455
Berkeley_44,9.00371933,351,-8.620181059743496,-31.017938053502128,66.22975318182225,29.519994462509754,34.2777692377092,73.61038617500196,0.3425748637426743,0.2629643423902073,0.1583528296972044,0.0172649544901594,-0.0436761926405324,0.8939010968200009,-0.4990689874361109,-0.6349340085178833
NGC_6005,8.93335915,499,-8.513539711017568,-25.582481024827736,12.191857039629772,21.92749464592142,48.757913665771135,41.90543365649325,0.3724910301664274,0.2848445569388035,0.1971980837111795,0.0151068351788895,-0.0397056296732112,-0.0182124558773326,-13.970207597955548,-15.667228357751096
CWNU_2795,8.63781023,102,-8.436016799403665,-22.74374126969812,-1.2719013539539035,5.810713690760562,22.730458345225205,28.758769918918922,0.3724910301664274,0.5143026722506174,0.5127150176490668,0.0134282979367907,-0.0363968272004436,-0.0182124558773326,0.0016551334469139,-0.9824857030395312
UPK_27,8.84602118,110,-8.248988245399373,8.933792794197538,12.68506230229215,19.22010443369888,38.615599246032204,-0.23401284338723238,0.2786650384474075,0.4730497889456792,-0.0303540931288874,0.0134282979367907,-1.0485291029339254,-0.4921788564882754,-0.5992551899488887,-0.6515279172216157
ASCC_63,8.61818027,171,-8.168500020012404,-7.120977097369158,2.071546530283192,10.569814742894334,25.89272479192038,-3.7547365919051323,0.2385514246982507,0.5016551334469141,-0.0260177941104749,0.0134282979367907,-1.0436761926405325,-0.5091062279386663,-0.6146207076398857,-0.6434239152965371
BH_66,8.43686533,407,-8.141506580942517,-2.8225802576240278,3.7243735879335698,4.304008496597598,-0.45218233334456026,-2.4508755576713472,0.458845280116826,0.1029792402044458,-0.5182124558773324,-0.4949643882737033,-0.5586897553456159,-0.6560320767070267,-0.7623738841567249,-0.9639791448040836
